doc_id;current_filename;bibtex_key;title;authors;year;venue;doi_url;obtained
rep_41;Article_repair_46.pdf;64;A graph-based algorithm for consistency maintenance in incremental and interactive integration tools;Simon M. Becker, Sebastian Herold, Sebastian Lohmann, Bernhard Westfechtel;2007;;https://doi.org/10.1007/s10270-006-0045-5;true
rep_42;Article_repair_47.pdf;66;From model transformation to incremental bidirectional model synchronization;Holger Giese, Robert Wagner;2009;;https://doi.org/10.1007/s10270-008-0089-9;true
rep_43;Article_repair_48.pdf;54;Synchronization of abstract and concrete syntax in domain-specific modeling languages: By mapping models and live transformations;István Ráth, András Ökrös, Dániel Varró;2010;;https://doi.org/10.1007/s10270-009-0122-7;true
rep_44;Article_repair_49.pdf;37;A model-driven approach to automate the propagation of changes among Architecture Description Languages;Romina Eramo, Ivano Malavolta, Henry Muccini, Patrizio Pelliccione, Alfonso Pierantonio;2012;;https://doi.org/10.1007/s10270-010-0170-z;true
rep_45;Article_repair_50.pdf;59;Synchronizing concurrent model updates based on bidirectional transformation;Yingfei Xiong, Hui Song, Zhenjiang Hu, Masato Takeichi;2013;;https://doi.org/10.1007/s10270-010-0187-3;true
rep_46;Article_repair_51.pdf;72;Model synchronization based on triple graph grammars: correctness, completeness and invertibility;Frank Hermann, Hartmut Ehrig, Fernando Orejas, Krzysztof Czarnecki, Zinovy Diskin, Yingfei Xiong, Susann Gottmann, Thomas Engel;2015;;https://doi.org/10.1007/s10270-012-0309-1;true
rep_47;Article_repair_53.pdf;28;Least-change bidirectional model transformation with QVT-R and ATL;Nuno Macedo, Alcino Cunha;2014;;https://doi.org/10.1007/s10270-014-0437-x;true
rep_48;Article_repair_54.pdf;53;Rule-Based Detection of Inconsistency in UML Models;WenQian Liu, Steve Easterbrook, John Mylopoulos;2002;;https://api.semanticscholar.org/CorpusID:10481581;true
rep_49;Article_repair_03.pdf;7;Using viewpoints for inconsistency management;S. Easterbrook and B. Nuseibeh;1996;;https://doi.org/10.1049/sej.1996.0004;true
rep_50;Article_repair_12.pdf;40;Resolving Model Inconsistencies with Automated Planning;Jorge Pinna Puissant, Tom Mens, Ragnhild Van Der Straeten;2010;;https://ceur-ws.org/Vol-661/paper3.pdf;true
rep_51;Article_repair_27.pdf;62;Checking and enforcement of modeling guidelines with graph transformations;C. Amelunxen, E. Legros, A. Sch€ urr, and I. St€ urmer;2007;;https://doi.org/10.1007/978-3-540-89020-1_22;true
rep_52;Article_repair_28.pdf;67;ViewPoint-oriented software development by distributed graph transformation: Towards a basis for living with inconsistencies;M. Goedicke, T. Meyer, and G. Taentzer;1999;;https://ieeexplore.ieee.org/abstract/document/777989;true
rep_53;Article_repair_42.pdf;69;Extended model relations with graphical consistency conditions;J. H. Hausmann, R. Heckel, and S. Sauer;2002;;https://ris.uni-paderborn.de/record/8368;true
rep_54;Article_repair_52.pdf;75;New strategies to resolve inconsistencies between models of decoupled tools;A.-T. K€ ortgen;2010;;https://www.sse-rwth.de/publications/New-Strategies-to-Resolve-Inconsistencies-between-Models-of-Decoupled-Tools.pdf;true
